ordinary "Ordinary Time"
irenarchusRostov "St Irenarchus of Rostov"
eleazarAnzerskIsland "St Eleazar of Anzersk Island"

sinai-raithu "Holy Fathers Slain at Sinai and Raithu"
ninaGeorgia "St Nina of Georgia"
josephAnalytinus "St Joseph Analytinus of Raithu"
theodulusSinai "St Thodulus, son of St Nilus, of Sinai"
stephenChenolaklos "St Stephen of Chenolaklos Monastery"

paulThebes-johnCalabytes "Ss Paul of Thebes and John Calabytes"
pansophiusAlexandria "St Pansophius of Alexandria"
prochorusVranski "St Prochorus of the Vranski Wilderness"
gabrielLesnovo "St Gabriel of Lesnovo Monastery"

peter-chains "Chains of St Peter"
speusippus-eleusippus-meleusippus "Ss Speusippus, Eleusippus, and Meleusippus, and Others"
danaxReader "St Danax the Reader"
honoratusArles "St Honoratus of Arles"
maximusTotma "St Maximus of Totma"
damasceneHilandar "St Damascene of Hilandar"

anthonyGreat "St Anthony the Great"
anthonyDymsk "St Anthony of Dymsk"
anthonyChernoezero "St Anthony of Chernoezero"

athanasius-cyril "Ss Athanasius the Great and Cyril, of Alexandria"
marcianCyrrhus "St Marcian of Cyrrhus"
athanasiusSyandemsk "St Athanasius of Syandemsk"
athanasiusNovolotsk "St Athanasius of Novolotsk"

macariusGreat "St Macarius the Great of Egypt"
euphrasiaNicomedia "St Euphrasia of Nicomedia"
macariusAlexandria "St Macarius of Alexandria"
macariusStylite "St Macarius the Stylite of Martkopsk"
arseniusKerkyra "St Arsenius of Kerkyra"
macariusFaster "St Macarius the Faster of the Kiev Near Caves"
theodoreNovgorod "St Theodore Novgorod"
macariusDeacon "St Macarius the Deacon of the Kiev Far Caves"
markEphesus "St Mark of Ephesus"
macariusRoman "St Macarius the Roman of Novgorod"
savaStorozhev-relicsOpening "St Sava of Storozhev, Opening of Relics"

euthymiusGreat "St Euthymius the Great"
innas-pinnas-rimmas "Ss Innas, Pinnas, and Rimmas, of Scythia"
bassos-eusebios-euthychios-basileides "Ss Bassos, Eusebios, Euthychios, and Basileides, of Nicomedia"
euthymius-lawrence "Ss Euthymius, and Lawrence the Recluse, of the Kiev Far Caves"
euthymiusSyanzhemsk "St Euthymius of Syanzhemsk"
eptimosConfessor "St Eptimos the Confessor"

maximusConfessor "St Maximus the Confessor"
neophytusNicaea "St Neophytus of Nicaea"
eugene-candidus-valerian-aquila "Ss Eugene, Candidus, Valerian, and Aquila, of Trebizond"
agnesRome "St Agnes of Rome"
anastasiusMaximus "St Anastasius, Disciple of St Maximus the Confessor"
maximusGreek "St Maximus the Greek"
iconJoyConsolation "Joy and Consolation Icon of the Theotokos"

synaxisNewMartyrsRussia "Synaxis of the New Martyrs and Confessors of Russia"
timothyEphesus "St Timothy of Ephesus, of the Seventy"
anastasiusPersian "St Anastasius the Persian"
martyrs377Bulgaria "377 Martyrs of Bulgaria"
anastasiusKievNearCaves "St Anastasius of the Kiev Near Caves"
macariusZhabynsk "St Macarius of Zhabynsk"

clement-agathangelus "Ss Clement of Ancyra, and Agathangelus"
mausimasSyrian "St Mausimas the Syrian"
salamanesSilent "St Salamanes the Silent of the Euphrates"
paulinusMerciful "St Paulinus the Merciful"
sixthCouncil "Sixth Ecumenical Council"
gennadiusKostroma "St Gennadius of Kostroma"
theoctistNovgorod-relicsTranslation "St Theoctist of Novgorod, Translation of Relics"

xeniaRome "St Xenia of Rome"
babylas-timothy-agapius "Ss Babylas of Sicily, Timothy, and Agapius"
macedoniusSyria "St Macedonius of Syria"
anastasiusPersian-relicsTranslation "St Anastasius the Persian, Translation of Relics"
gerasimusPerm "St Gerasimus of Perm"
johnKazan "St John of Kazan"
dionysiusOlympus "St Dionysius of Olympus"
philotheusAthos "St Philotheus of the Philotheou Monastery"
xeniaStPetersburg "St Xenia of St Petersburg"

gregoryTheologian "St Gregory the Theologian"
felicitas-sons "St Felicitas of Rome, and Seven Sons"
publiusSyria "St Publius of Syria"
maresSinger "St Mares the Singer"
mosesNovgorod "St Moses of Novgorod"
vladimirKiev "St Vladimir of Kiev and Galich"
iconAssuageMySorrow "Assuage My Sorrow Icon of the Theotokos"
iconUnexpectedJoy "The Unexpected Joy Icon of the Theotokos"

xenophon-family "St Xenophon, his wife Mary, and their two sons"
theodoreStudion-relicsTranslation "St Theodore of Studion, Translation of Relics"
ananias-peter "Ss Ananias the Presbyter, Peter, and seven soldiers"
simeonAncient "St Simeon the Ancient, of Mt. Sinai"
josephThessalonica "St Joseph of Thessalonica"
davidBuilder "St David the Builder, King of Georgia"
xenophonRobeika "St Xenophon of Robeika"

johnChrysostom-translationRelics "St John Chrysostom, Translation of Relics"

ephraimSyrian "St Ephraim the Syrian"
